date;gforce;speed;AccX;AccY;AccZ;GyroX;GyroY;GyroZ
12/02/2020 11:21:02;1;52;0.64;-0.52;1.63;-69.01;-6.49;-6.34
12/02/2020 11:21:03;1;53;0.59;-0.34;1.52;-68.76;-5.50;-7.23
12/02/2020 11:21:05;1;52;0.59;-0.37;1.48;-68.64;0.15;4.34
12/02/2020 11:21:06;1;53;0.71;-0.36;1.63;-68.64;-2.75;-4.16
12/02/2020 11:21:07;1;53;0.48;-0.32;1.38;-68.27;-1.34;5.56
12/02/2020 11:21:09;1;52;0.31;-0.53;0.92;-68.40;1.92;3.97
12/02/2020 11:21:10;1;52;0.58;-0.19;1.24;-68.40;1.34;-1.27
12/02/2020 11:21:12;1;50;0.41;-0.26;1.21;-67.91;11.24;-2.84
12/02/2020 11:21:13;1;50;0.59;-0.35;1.48;-68.15;-0.37;1.31
12/02/2020 11:21:15;1;47;0.53;-0.31;1.73;-67.91;-3.14;-3.27
12/02/2020 11:21:16;1;46;0.62;-0.39;1.72;-68.15;-4.54;-4.89
12/02/2020 11:21:18;1;43;0.57;-0.34;1.78;-67.79;-3.27;-5.64
12/02/2020 11:21:19;1;42;0.48;-0.41;1.46;-67.54;-3.63;0.50
12/02/2020 11:21:20;1;45;0.58;-0.19;1.47;-67.79;-5.10;-4.72
12/02/2020 11:21:22;1;44;0.70;-0.22;1.85;-67.79;-6.06;-6.71
12/02/2020 11:21:23;1;43;0.72;-0.05;1.79;-67.54;-2.34;-5.29
12/02/2020 11:21:25;1;40;0.59;-0.23;1.02;-67.42;-0.72;-5.33
12/02/2020 11:21:26;1;41;0.67;-0.55;1.67;-67.42;2.14;1.60
12/02/2020 11:21:28;1;40;0.54;-0.29;1.66;-67.30;7.33;6.85
12/02/2020 11:21:29;1;40;0.63;-0.32;1.76;-67.05;-2.62;-6.53
12/02/2020 11:21:30;2;39;0.48;-0.35;1.91;-67.42;-0.89;0.73
12/02/2020 11:21:32;1;34;0.39;-0.48;1.16;-66.93;0.08;-0.32
12/02/2020 11:21:33;1;33;0.53;-0.31;1.15;-66.81;-2.91;1.64
12/02/2020 11:21:35;1;30;0.38;-0.21;1.34;-66.81;-6.65;-7.83
12/02/2020 11:21:36;1;29;0.44;-0.13;1.48;-66.69;-3.16;-1.72
12/02/2020 11:21:38;1;22;-0.09;-0.44;1.68;-66.56;-5.25;3.59
12/02/2020 11:21:39;1;24;0.69;-0.34;1.69;-66.32;2.68;-0.21
12/02/2020 11:21:40;1;22;1.16;0.05;1.36;-66.32;4.18;-5.23
12/02/2020 11:21:42;1;22;1.33;-0.15;1.40;-66.44;5.95;-4.79
12/02/2020 11:21:43;1;25;1.41;-0.12;1.40;-66.44;6.26;-5.34
12/02/2020 11:21:45;1;26;0.42;-0.60;1.58;-65.95;-9.66;-2.87
12/02/2020 11:21:46;1;29;0.43;-0.52;1.53;-66.20;-0.89;1.24
12/02/2020 11:21:48;1;33;0.54;-0.49;1.52;-65.83;-7.20;-8.12
12/02/2020 11:21:49;1;33;0.51;-0.53;1.74;-65.95;-7.14;-0.82
12/02/2020 11:21:50;1;35;0.42;-0.54;1.63;-65.71;-2.66;2.30
12/02/2020 11:21:52;1;34;0.34;-0.46;1.63;-65.71;-2.85;2.70
12/02/2020 11:21:53;1;27;0.26;-0.32;1.76;-65.71;-3.12;2.36
12/02/2020 11:21:55;2;31;1.01;0.36;1.70;-65.34;-0.88;7.05
12/02/2020 11:21:56;1;34;0.83;-0.13;1.37;-65.22;2.56;4.13
12/02/2020 11:21:58;1;34;0.88;-0.37;1.55;-64.98;0.11;0.89
12/02/2020 11:21:59;1;33;0.67;-0.31;1.57;-64.98;-1.56;-6.05
12/02/2020 11:22:00;1;32;0.76;-0.23;1.83;-65.22;-4.37;-0.64
12/02/2020 11:22:02;1;32;0.67;-0.34;1.50;-64.98;-10.17;-8.26
12/02/2020 11:22:03;1;33;0.60;-0.10;1.48;-64.73;-1.00;-4.52
12/02/2020 11:22:05;1;26;0.64;-0.27;1.75;-64.61;-3.44;-1.14
